,name,reference product,location,unit
0,"photovoltaic mounting system production, for flat-roof installation","photovoltaic mounting system, for flat-roof installation",RER,square meter
1,"aluminium sulfate production, without water, in 4.33% aluminium solution state","aluminium sulfate, without water, in 4.33% aluminium solution state",CA-QC,kilogram
2,"particleboard production, cement bonded","particleboard, cement bonded",RoW,cubic meter
3,"transport, pipeline, offshore, long distance, natural gas","transport, pipeline, offshore, long distance, natural gas",RU,ton kilometer
4,"treatment of sewage sludge, 97% water, WWT, WW from hard fibreboard production, landfarming","sewage sludge, 97% water, WWT, WW from hard fibreboard production",RoW,kilogram
5,"photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof","photovoltaic slanted-roof installation, 3kWp, single-Si, panel, mounted, on roof",RoW,unit
6,"wood preservative production, creosote","wood preservative, creosote",RoW,kilogram
7,market for waste glass,waste glass,CH,kilogram
8,"electricity production, natural gas, combined cycle power plant","electricity, high voltage",FI,kilowatt hour
9,"market for electricity, high voltage","electricity, high voltage",ID,kilowatt hour
10,"market for land use change, perennial crop","land use change, perennial crop",ES,hectare
11,basic oxygen furnace secondary metallurgy slag to market for basic oxygen furnace secondary metallurgy slag for recovery,basic oxygen furnace secondary metallurgy slag,RER,kilogram
12,"treatment of waste mineral wool, recycling",waste mineral wool,CH,kilogram
13,light mortar production,light mortar,RoW,kilogram
14,ethylene glycol monoethyl ether production,ethylene glycol monoethyl ether,RER,kilogram
15,"treatment of waste wood pole, chrome preserved, municipal incineration","waste wood pole, chrome preserved",RoW,kilogram
16,"fibre, silk, short, Recycled Content cut-off","fibre, silk, short",GLO,kilogram
17,"steel production, electric, low-alloyed","steel, low-alloyed",CH,kilogram
18,"petroleum slack wax production, petroleum refinery operation",petroleum slack wax,PE,kilogram
19,"electricity, high voltage, production mix","electricity, high voltage",LT,kilowatt hour
20,"transport, passenger car, medium size, natural gas, EURO 4","transport, passenger car, medium size, natural gas, EURO 4",RER,kilometer
21,"treatment of sewage sludge, 70% water, WWT, WW from tube collector production, municipal incineration FAE","sewage sludge, 70% water, WWT, WW from tube collector production",CH,kilogram
